Name,Location,Type
Bayside Fields,"204 Street & 29 Avenue, Clearview Expressway",Bathrooms
Cunningham Park (HQ8),"South of Union Turnpike, between Francis Lewis Boulevard & 193rd Street",Bathrooms
Flushing Meadows Corona Park (Passerelle),"Unisphere Fountain to pool, at Meridian Road",Bathrooms
Flushing Meadows Corona Park (Playground for All Children) ,111 Street and Corona Avenue,Bathrooms
"Flushing Meadows Corona Park (Zoo, Ballfields)",Grand Central Parkway to 111th Street to Heckscher Children Farm to Playground for All Children,Bathrooms
Juniper Valley Park,Lutheran Avenue; North and South Juniper boulevards; and the pathway from 76th Street on north end to 75th Street on south end,Bathrooms
Lawerence Virgilio Playground,39 Drive & 54 Street,Bathrooms
Michaelis-Bayswater Park,"Beach Channel Drive, B 32 Street, Dwight Avenue, Norton Avenue",Bathrooms
Arrochar Playground,"Sand Lane, Major Avenue, McFarland Avenue",Bathrooms
Blood Root Valley (Greenbelt Nature Center),"Rockland, Manor and Brielle avenues, Forest Hill Road",Bathrooms
Blood Root Valley (Park House),"Rockland, Manor and Brielle avenues, Forest Hill Road",Bathrooms
Blue Heron Park Preserve (Nature Center),Poillon Avenue,Bathrooms
Corporal Thompson Park/West Brighton Pool,"Broadway, Henderson Avenue",Bathrooms
Double Nickel Playground,Osborne Street and Preston Avenue,Bathrooms
Grandview Playground,"Grandview Avenue, Continental Place",Bathrooms
High Rock Park (McArthur Park),Richmond Parkway & Moravian Cemetery at Rockland Avenue,Bathrooms
Joline Pool Playground (Modular Equipment),"Joline Avenue, Hylan Boulevard",Bathrooms
Lyons Pool,"Pier 6, Victory Boulevard",Bathrooms
Markham Playground,"Willowbrook Parkway, Forest Avenue & Houston Street",Bathrooms
Midland Beach & Boardwalk,"Natural Area and Boardwalk from Sands Lane to Vulcan Street, East of Father Capodanno Boulevard",Bathrooms
Midland Field,Midland Avenue & Mason Avenue,Bathrooms
South Beach (Saturn Playground),"Natural Area and Boardwalk from Sands Lane to Vulcan Street, East of Father Capodanno Boulevard",Bathrooms
Stapleton Playground,Tompkins Avenue & Broad Street,Bathrooms
Terrace Playground,Howard Avenue & Martha Street,Bathrooms
Todt Hill Playground,Schmidts Lane & Manor Road,Bathrooms
Coney Island,Brighton 2nd,Bathrooms
Coney Island,W 27 ST.,Bathrooms
Coney Island,W 33 St.,Bathrooms
Marine Park Nature Center,East 33rd Street and Avenue U,Bathrooms
Bendheim Playground,100th Street and Fifth Ave,Bathrooms
Liberty Pool,173rd Street and 106th Avenue,Bathrooms
Ederle Comfort Station,,Bathrooms
Rockaway Beach 86 Comfort Station,Beach 86 Street,Bathrooms
Rockaway Beach 97 Comfort Station,Beach 97 Street,Bathrooms
Rockaway Beach 106 Comfort Station,Beach 106 Street,Bathrooms
Rockaway Beach 117th L/G,Beach 117 Street,Bathrooms
Bloomingdale Park,"Richmond Pkwy, Bloomingdale Rd., Lenevar Ave",Bathrooms
Conference House Park,"Pittsville St,Hylan Blvd.,Surf,Richard Aves",Bathrooms
South Beach Wetlands,Quintard St Bet. Quincy Ave & Father Capodanno Blvd,Bathrooms
